"YEARMONTHWEEK","incidences","mobility","policy","YEARMONTH","x_label"
"2020-07-01",0.71,8.548958,0.333333333333333,"2020-07","07"
"2020-07-02",0.47,8.459075,0.333333333333333,"2020-07",""
"2020-07-03",0.58,8.555308,0.333333333333333,"2020-07",""
"2020-07-04",0.91,8.559673,0.333333333333333,"2020-07",""
"2020-07-05",0.42,8.356034,0.333333333333333,"2020-07",""
"2020-08-01",0.68,8.118719,0.333333333333333,"2020-08","08"
"2020-08-02",3.12,8.349387,0.333333333333333,"2020-08",""
"2020-08-03",9.03,7.058238,0.666666666666667,"2020-08",""
"2020-08-04",8.84,6.747981,0.666666666666667,"2020-08",""
"2020-09-01",5.4,6.419418,0.666666666666667,"2020-09","09"
"2020-09-02",3.56,6.717441,0.666666666666667,"2020-09",""
"2020-09-03",3.02,7.706972,0.666666666666667,"2020-09",""
"2020-09-04",2.4,8.104052,0.666666666666667,"2020-09",""
"2020-10-01",1.64,6.639207,0.666666666666667,"2020-10","10"
"2020-10-02",1.57,7.911542,0.666666666666667,"2020-10",""
"2020-10-03",1.55,8.570616,0.380952380952381,"2020-10",""
"2020-10-04",1.19,8.712504,0.333333333333333,"2020-10",""
"2020-10-05",2.49,8.790334,0.333333333333333,"2020-10",""
"2020-11-01",2.7,8.701956,0.314285714285714,"2020-11","11"
"2020-11-02",4.07,8.787657,0.2,"2020-11",""
"2020-11-03",7.8,8.293324,0.285714285714286,"2020-11",""
"2020-11-04",11.39,7.414442,0.542857142857143,"2020-11",""
"2020-12-01",15.53,7.148081,0.6,"2020-12","12"
"2020-12-02",19.79,6.712823,0.742857142857143,"2020-12",""
"2020-12-03",25.2,6.379741,0.8,"2020-12",""
"2020-12-04",27.16,6.135031,0.8,"2020-12",""
"2020-12-05",23.77,5.89333,0.8,"2020-12",""
"2021-01-01",16.54,6.350396,0.8,"2021-01","01"
"2021-01-02",10.22,6.856775,0.8,"2021-01",""
"2021-01-03",8.76,7.327991,0.8,"2021-01",""
"2021-01-04",8.02,7.468631,0.8,"2021-01",""
"2021-02-01",10.08,7.478705,0.8,"2021-02","02"
"2021-02-02",10.06,6.542764,0.8,"2021-02",""
"2021-02-03",11.86,7.721122,0.628571428571429,"2021-02",""
"2021-02-04",8.79,8.194937,0.6,"2021-02",""
"2021-03-01",8.4,7.733451,0.6,"2021-03","03"
"2021-03-02",8.7,8.338039,0.6,"2021-03",""
"2021-03-03",8.18,8.34018,0.6,"2021-03",""
"2021-03-04",8.56,8.335848,0.6,"2021-03",""
"2021-04-01",10.79,8.306958,0.6,"2021-04","04"
"2021-04-02",13.71,8.25568,0.6,"2021-04",""
"2021-04-03",14.21,7.995296,0.6,"2021-04",""
"2021-04-04",13.65,8.171234,0.6,"2021-04",""
"2021-04-05",13.58,8.167886,0.6,"2021-04",""
"2021-05-01",13.76,7.971695,0.6,"2021-05","05"
"2021-05-02",14.51,8.13544,0.6,"2021-05",""
"2021-05-03",14.19,8.027698,0.6,"2021-05",""
"2021-05-04",13.24,8.219273,0.6,"2021-05",""
"2021-06-01",14.12,8.192058,0.6,"2021-06","06"
"2021-06-02",12.81,8.176624,0.6,"2021-06",""
"2021-06-03",12.17,8.364627,0.6,"2021-06",""
"2021-06-04",15.27,8.549968,0.6,"2021-06",""
"2021-07-01",20.92,8.295826,0.6,"2021-07","07"
"2021-07-02",32.8,7.922066,0.6,"2021-07",""
"2021-07-03",36.25,7.078799,0.942857142857143,"2021-07",""
"2021-07-04",33.89,7.132121,1,"2021-07",""
"2021-07-05",32.15,7.15477,1,"2021-07",""
"2021-08-01",30.44,7.122878,1,"2021-08","08"
"2021-08-02",34.83,7.383219,1,"2021-08",""
"2021-08-03",33.88,7.152752,1,"2021-08",""
"2021-08-04",37.13,7.607379,1,"2021-08",""
"2021-09-01",37.36,7.761688,1,"2021-09","09"
"2021-09-02",42.69,7.908304,1,"2021-09",""
"2021-09-03",48.11,8.073606,1,"2021-09",""
"2021-09-04",55.98,6.737036,1,"2021-09",""
"2021-09-05",60.5,8.011939,1,"2021-09",""
"2021-10-01",46.83,7.554085,1,"2021-10","10"
"2021-10-02",40.9,7.846393,1,"2021-10",""
"2021-10-03",32.5,8.22761,1,"2021-10",""
"2021-10-04",46.33,8.466429,1,"2021-10",""
"2021-11-01",59.35,8.679796,0.142857142857143,"2021-11","11"
